word_id,word_original,NAME,LOCATION,NATION,MARKET,DATE,TIME,PRICE,GOD,labels,word,POS
SB_J_1.0.0,1.,O,O,O,O,O,O,O,O,O,1,NUM
SB_J_1.0.0.1,,O,O,O,O,O,O,O,O,O,.,PUNCT
SB_J_1.0.1,OTWELL,B,O,O,O,O,O,O,O,NAME-B,OTWELL,PROPN
SB_J_1.0.2,JOHNSON,I,O,O,O,O,O,O,O,NAME-I,JOHNSON,NOUN
SB_J_1.0.3,TO,O,O,O,O,O,O,O,O,O,TO,ADP
SB_J_1.0.4,JOHN,B,O,O,O,O,O,O,O,NAME-B,JOHN,PROPN
SB_J_1.0.5,JOHNSON,I,O,O,O,O,O,O,O,NAME-I,JOHNSON,NOUN
SB_J_1.1.0,At,O,O,O,O,O,O,O,O,O,At,ADP
SB_J_1.1.1,"London,",O,B,O,O,O,O,O,O,LOCATION-B,London,PROPN
SB_J_1.1.1.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.1.2,the,O,O,O,O,B,O,O,O,DATE-B,the,PRON
SB_J_1.1.3,12th,O,O,O,O,I,O,O,O,DATE-I,12th,NOUN
SB_J_1.1.4,in,O,O,O,O,I,O,O,O,DATE-I,in,ADP
SB_J_1.1.5,"February,",O,O,O,O,I,O,O,O,DATE-I,February,PROPN
SB_J_1.1.5.1,,O,O,O,O,I,O,O,O,DATE-I,",",PUNCT
SB_J_1.1.6,1542.,O,O,O,O,I,O,O,O,DATE-I,1542,NUM
SB_J_1.1.6.1,,O,O,O,O,O,O,O,O,O,.,PUNCT
SB_J_1.2.0,With,O,O,O,O,O,O,O,O,O,With,ADP
SB_J_1.2.1,my,O,O,O,O,O,O,O,O,O,my,PRON
SB_J_1.2.2,right,O,O,O,O,O,O,O,O,O,right,INTJ
SB_J_1.2.3,harty,O,O,O,O,O,O,O,O,O,harty,NOUN
SB_J_1.2.4,comendacions,O,O,O,O,O,O,O,O,O,comendacions,NOUN
SB_J_1.2.5,unto,O,O,O,O,O,O,O,O,O,unto,ADP
SB_J_1.2.6,"you,",O,O,O,O,O,O,O,O,O,you,PRON
SB_J_1.2.6.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.2.7,"brother,",O,O,O,O,O,O,O,O,O,brother,NOUN
SB_J_1.2.7.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.2.8,and,O,O,O,O,O,O,O,O,O,and,CCONJ
SB_J_1.2.9,to,O,O,O,O,O,O,O,O,O,to,PART
SB_J_1.2.10,my,O,O,O,O,O,O,O,O,O,my,PRON
SB_J_1.2.11,syster,O,O,O,O,O,O,O,O,O,syster,NOUN
SB_J_1.2.12,your,O,O,O,O,O,O,O,O,O,your,PRON
SB_J_1.2.13,"wiff,",O,O,O,O,O,O,O,O,O,wiff,NOUN
SB_J_1.2.13.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.2.14,I,O,O,O,O,O,O,O,O,O,I,PRON
SB_J_1.2.15,do,O,O,O,O,O,O,O,O,O,do,VERB
SB_J_1.2.16,you,O,O,O,O,O,O,O,O,O,you,PRON
SB_J_1.2.17,to,O,O,O,O,O,O,O,O,O,to,PART
SB_J_1.2.18,witt,O,O,O,O,O,O,O,O,O,witt,PROPN
SB_J_1.2.19,that,O,O,O,O,O,O,O,O,O,that,PRON
SB_J_1.2.20,our,O,O,O,O,O,O,O,O,O,our,PRON
SB_J_1.2.21,frend,O,O,O,O,O,O,O,O,O,frend,NOUN
SB_J_1.2.22,Thomas,B,O,O,O,O,O,O,O,NAME-B,Thomas,PROPN
SB_J_1.2.23,Flecton,I,O,O,O,O,O,O,O,NAME-I,Flecton,PROPN
SB_J_1.2.24,delyvered,O,O,O,O,O,O,O,O,O,delyvered,VERB
SB_J_1.2.25,me,O,O,O,O,O,O,O,O,O,me,PRON
SB_J_1.2.26,your,O,O,O,O,O,O,O,O,O,your,PRON
SB_J_1.2.27,last,O,O,O,O,O,O,O,O,O,last,ADJ
SB_J_1.2.28,lettre,O,O,O,O,O,O,O,O,O,lettre,NOUN
SB_J_1.2.29,yesternight;,O,O,O,O,O,B,O,O,TIME-B,yesternight,ADV
SB_J_1.2.29.1,,O,O,O,O,O,O,O,O,O,;,PUNCT
SB_J_1.2.30,and,O,O,O,O,O,O,O,O,O,and,CCONJ
SB_J_1.2.31,for,O,O,O,O,O,O,O,O,O,for,ADP
SB_J_1.2.32,your,O,O,O,O,O,O,O,O,O,your,PRON
SB_J_1.2.33,loving,O,O,O,O,O,O,O,O,O,loving,VERB
SB_J_1.2.34,offre,O,O,O,O,O,O,O,O,O,offre,NOUN
SB_J_1.2.35,unto,O,O,O,O,O,O,O,O,O,unto,ADP
SB_J_1.2.36,me,O,O,O,O,O,O,O,O,O,me,PRON
SB_J_1.2.37,in,O,O,O,O,O,O,O,O,O,in,ADP
SB_J_1.2.38,the,O,O,O,O,O,O,O,O,O,the,PRON
SB_J_1.2.39,"same,",O,O,O,O,O,O,O,O,O,same,ADJ
SB_J_1.2.39.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.2.40,towardes,O,O,O,O,O,O,O,O,O,towardes,NOUN
SB_J_1.2.41,the,O,O,O,O,O,O,O,O,O,the,PRON
SB_J_1.2.42,performaunce,O,O,O,O,O,O,O,O,O,performaunce,NOUN
SB_J_1.2.43,of,O,O,O,O,O,O,O,O,O,of,ADP
SB_J_1.2.44,your,O,O,O,O,O,O,O,O,O,your,PRON
SB_J_1.2.45,help,O,O,O,O,O,O,O,O,O,help,VERB
SB_J_1.2.46,in,O,O,O,O,O,O,O,O,O,in,ADP
SB_J_1.2.47,my,O,O,O,O,O,O,O,O,O,my,PRON
SB_J_1.2.48,"necessite,",O,O,O,O,O,O,O,O,O,necessite,ADJ
SB_J_1.2.48.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.2.49,I,O,O,O,O,O,O,O,O,O,I,PRON
SB_J_1.2.50,do,O,O,O,O,O,O,O,O,O,do,VERB
SB_J_1.2.51,moost,O,O,O,O,O,O,O,O,O,moost,VERB
SB_J_1.2.52,hartely,O,O,O,O,O,O,O,O,O,hartely,ADV
SB_J_1.2.53,thanke,O,O,O,O,O,O,O,O,O,thanke,ADV
SB_J_1.2.54,"you,",O,O,O,O,O,O,O,O,O,you,PRON
SB_J_1.2.54.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.2.55,trusting,O,O,O,O,O,O,O,O,O,trusting,VERB
SB_J_1.2.56,ones,O,O,O,O,O,O,O,O,O,ones,NOUN
SB_J_1.2.57,to,O,O,O,O,O,O,O,O,O,to,PART
SB_J_1.2.58,be,O,O,O,O,O,O,O,O,O,be,AUX
SB_J_1.2.59,able,O,O,O,O,O,O,O,O,O,able,ADJ
SB_J_1.2.60,to,O,O,O,O,O,O,O,O,O,to,PART
SB_J_1.2.61,requite,O,O,O,O,O,O,O,O,O,requite,VERB
SB_J_1.2.62,part,O,O,O,O,O,O,O,O,O,part,NOUN
SB_J_1.2.63,of,O,O,O,O,O,O,O,O,O,of,ADP
SB_J_1.2.64,your,O,O,O,O,O,O,O,O,O,your,PRON
SB_J_1.2.65,goodnes.,O,O,O,O,O,O,O,O,O,goodnes,NOUN
SB_J_1.2.65.1,,O,O,O,O,O,O,O,O,O,.,PUNCT
SB_J_1.3.0,And,O,O,O,O,O,O,O,O,O,And,CCONJ
SB_J_1.3.1,for,O,O,O,O,O,O,O,O,O,for,ADP
SB_J_1.3.2,to,O,O,O,O,O,O,O,O,O,to,PART
SB_J_1.3.3,certefy,O,O,O,O,O,O,O,O,O,certefy,NOUN
SB_J_1.3.4,you,O,O,O,O,O,O,O,O,O,you,PRON
SB_J_1.3.5,of,O,O,O,O,O,O,O,O,O,of,ADP
SB_J_1.3.6,my,O,O,O,O,O,O,O,O,O,my,PRON
SB_J_1.3.7,payementes,O,O,O,O,O,O,O,O,O,payementes,NOUN
SB_J_1.3.8,made,O,O,O,O,O,O,O,O,O,made,VERB
SB_J_1.3.9,to,O,O,O,O,O,O,O,O,O,to,PART
SB_J_1.3.10,Mr.,B,O,O,O,O,O,O,O,NAME-B,Mr,PROPN
SB_J_1.3.10.1,,I,O,O,O,O,O,O,O,NAME-I,.,PUNCT
SB_J_1.3.11,Smyth,I,O,O,O,O,O,O,O,NAME-I,Smyth,NOUN
SB_J_1.3.12,for,O,O,O,O,O,O,O,O,O,for,ADP
SB_J_1.3.13,Mr.,B,O,O,O,O,O,O,O,NAME-B,Mr,PROPN
SB_J_1.3.13.1,,I,O,O,O,O,O,O,O,NAME-I,.,PUNCT
SB_J_1.3.14,"Cave,",I,O,O,O,O,O,O,O,NAME-I,Cave,VERB
SB_J_1.3.14.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.3.15,the,O,O,O,O,O,O,O,O,O,the,PRON
SB_J_1.3.16,same,O,O,O,O,O,O,O,O,O,same,ADJ
SB_J_1.3.17,is,O,O,O,O,O,O,O,O,O,is,AUX
SB_J_1.3.18,not,O,O,O,O,O,O,O,O,O,not,PART
SB_J_1.3.19,yet,O,O,O,O,O,O,O,O,O,yet,ADV
SB_J_1.3.20,made,O,O,O,O,O,O,O,O,O,made,VERB
SB_J_1.3.21,further,O,O,O,O,O,O,O,O,O,further,ADV
SB_J_1.3.22,than,O,O,O,O,O,O,O,O,O,than,ADP
SB_J_1.3.23,but,O,O,O,O,O,O,O,O,O,but,CCONJ
SB_J_1.3.24,as,O,O,O,O,O,O,O,O,O,as,ADP
SB_J_1.3.25,I,O,O,O,O,O,O,O,O,O,I,PRON
SB_J_1.3.26,writt,O,O,O,O,O,O,O,O,O,writt,ADP
SB_J_1.3.27,unto,O,O,O,O,O,O,O,O,O,unto,ADP
SB_J_1.3.28,you,O,O,O,O,O,O,O,O,O,you,PRON
SB_J_1.3.29,the,O,O,O,O,O,O,O,O,O,the,PRON
SB_J_1.3.30,last,O,O,O,O,O,B,O,O,TIME-B,last,ADJ
SB_J_1.3.31,"weke,",O,O,O,O,O,I,O,O,TIME-I,weke,ADJ
SB_J_1.3.31.1,,O,O,O,O,O,O,O,O,O,",",PUNCT
SB_J_1.3.32,by,O,O,O,O,O,O,O,O,O,by,ADP
SB_J_1.3.33,reasone,O,O,O,O,O,O,O,O,O,reasone,VERB
SB_J_1.3.34,that,O,O,O,O,O,O,O,O,O,that,PRON
SB_J_1.3.35,I,O,O,O,O,O,O,O,O,O,I,PRON
SB_J_1.3.36,cannot,O,O,O,O,O,O,O,O,O,cannot,AUX
SB_J_1.3.37,receyve,O,O,O,O,O,O,O,O,O,receyve,PROPN
SB_J_1.3.38,as,O,O,O,O,O,O,O,O,O,as,ADP
SB_J_1.3.39,yet,O,O,O,O,O,O,O,O,O,yet,ADV
SB_J_1.3.40,the,O,O,O,O,O,O,O,O,O,the,PRON
SB_J_1.3.41,monney,O,O,O,O,O,O,O,O,O,monney,PROPN
SB_J_1.3.42,of,O,O,O,O,O,O,O,O,O,of,ADP
SB_J_1.3.43,Bartram,B,O,O,O,O,O,O,O,NAME-B,Bartram,PROPN
SB_J_1.3.44,de,I,O,O,O,O,O,O,O,NAME-I,de,X
SB_J_1.3.45,la,I,O,O,O,O,O,O,O,NAME-I,la,INTJ
SB_J_1.3.46,Balle,I,O,O,O,O,O,O,O,NAME-I,Balle,PROPN
SB_J_1.3.47,that,O,O,O,O,O,O,O,O,O,that,PRON
SB_J_1.3.48,is,O,O,O,O,O,O,O,O,O,is,AUX
SB_J_1.3.49,dew,O,O,O,O,O,O,O,O,O,dew,NOUN
SB_J_1.3.50,unto,O,O,O,O,O,O,O,O,O,unto,ADP
