word,true_label,predictions
Your,O,O
loving,O,O
brother,O,O
",",O,O
Add,O,O
.,O,O
To,O,O
Wylliam,O,O
Tupholme,O,O
",",O,O
serwande,O,O
with,O,O
Mr,O,O
.,O,O
John,O,O
Johnson,O,O
",",O,O
this,O,O
be,O,O
delyveryd,O,O
at,O,O
Glapthorne,O,O
.,O,O
By,O,O
youer,O,O
frynde,O,O
",",O,O
Wylliam,O,O
Gannothe,O,O
.,O,O
442,O,O
.,O,O
JOHN,O,O
JOHNSON,O,O
TO,O,O
ROBERT,O,O
ANDREW,O,O
Youer,O,O
freind,O,O
to,O,O
his,O,O
power,O,O
",",O,O
Add,O,O
.,O,O
To,O,O
my,O,O
worshipfull,O,O
brother,O,O
John,O,O
Johnson,O,O
",",O,O
marchaunt,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Callais,O,O
",",O,O
be,O,O
this,O,O
delyvered,O,O
at,O,O
Andwerpe,O,O
After,O,O
herty,O,O
comendations,O,O
",",O,O
theise,O,O
maie,O,O
signifie,O,O
unto,O,O
you,O,O
that,O,O
unto,O,O
my,O,O
brother,O,O
Richard,O,O
Johnson,O,O
",",O,O
now,O,O
at,O,O
Callais,O,O
",",O,O
I,O,O
have,O,O
sent,O,O
a,O,O
lettre,O,O
directed,O,O
unto,O,O
you,O,O
",",O,O
which,O,O
I,O,O
have,O,O
wylled,O,O
hym,O,O
to,O,O
convey,O,O
unto,O,O
you,O,O
.,O,O
(1a,O,O
),O,O
In,O,O
the,O,O
same,O,O
I,O,O
desiered,O,O
you,O,O
to,O,O
make,O,O
up,O,O
in,O,O
your,O,O
bocke,O,O
my,O,O
accompt,O,O
",",O,O
and,O,O
the,O,O
rest,O,O
to,O,O
sett,O,O
in,O,O
a,O,O
new,O,O
place,O,O
on,O,O
the,O,O
name,O,O
of,O,O
John,O,O
and,O,O
Richard,O,O
Jonson,O,O
;,O,O
and,O,O
desiered,O,O
you,O,O
to,O,O
accept,O,O
suche,O,O
busines,O,O
as,O,O
my,O,O
brother,O,O
shall,O,O
assinge,O,O
unto,O,O
you,O,O
",",O,O
even,O,O
as,O,O
(I,O,O
thancke,O,O
you,O,O
),O,O
ye,O,O
have,O,O
done,O,O
for,O,O
me,O,O
.,O,O
And,O,O
now,O,O
I,O,O
shall,O,O
desyer,O,O
you,O,O
to,O,O
accept,O,O
ij,O,O
billes,O,O
of,O,O
exchange,O,O
",",O,O
first,O,O
and,O,O
secont,O,O
made,O,O
dew,O,O
to,O,O
Herman,O,O
Peper,O,O
of,O,O
Andwerpe,O,O
",",O,O
cont,O,O
.,O,O
28li,O,O
15s,O,O
0d,O,O
Fl.,O,O
",",O,O
and,O,O
ij,O,O
billes,O,O
",",O,O
first,O,O
and,O,O
seconde,O,O
",",O,O
made,O,O
dew,O,O
to,O,O
Laurens,O,O
Burkens,O,O
of,O,O
Andwerp,O,O
",",O,O
cont,O,O
.,O,O
51li,O,O
15s,O,O
0d,O,O
Fl.,O,O
",",O,O
(2a,O,O
),O,O
all,O,O
paieable,O,O
at,O,O
usans,O,O
",",O,O
which,O,O
is,O,O
the,B,B
vjth,I,I
of,I,I
Aprill,I,I
",",O,O
and,O,O
is,O,O
for,O,O
the,O,O
velew,O,O
receavid,O,O
of,O,O
John,O,O
Rowland,O,O
;,O,O
and,O,O
whereas,O,O
ye,O,O
have,O,O
not,O,O
in,O,O
your,O,O
handes,O,O
to,O,O
discharge,O,O
it,O,O
",",O,O
my,O,O
brother,O,O
Richard,O,O
aforsaid,O,O
hath,O,O
advise,O,O
to,O,O
send,O,O
you,O,O
",",O,O
or,O,O
to,O,O
send,O,O
you,O,O
right,O,O
shortly,O,O
",",O,O
a,O,O
greter,O,O
somme,O,O
of,O,O
monney,O,O
then,O,O
the,O,O
bylles,O,O
comme,O,O
to,O,O
.,O,O
As,O,O
the,O,O
Lord,O,O
knowith,O,O
",",O,O
Who,O,O
kepe,O,O
you,O,O
",",O,O
in,O,O
hast,O,O
.,O,O
Add,O,O
.,O,O
To,O,O
my,O,O
right,O,O
trustie,O,O
frende,O,O
John,O,O
Johnson,O,O
",",O,O
marchaunt,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Callais,O,O
",",O,O
be,O,O
this,O,O
delyvered,O,O
at,O,O
Polbroucke,O,O
.,O,O
Anthony,O,O
Cave,O,O
.,O,O
Of,O,O
the,O,O
rest,O,O
delyver,O,O
by,O,O
exchaunge,O,O
to,O,O
some,O,O
good,O,O
sewer,O,O
man,O,O
",",O,O
for,O,O
th'accompt,O,O
of,O,O
Mr,O,O
.,O,O
Cave,O,O
and,O,O
me,O,O
",",O,O
for,O,O
ijCli,O,O
st.,O,O
",",O,O
and,O,O
retayne,O,O
the,O,O
rest,O,O
untyll,O,O
I,O,O
write,O,O
you,O,O
further,O,O
hierafter,O,O
.,O,O
Sir,O,O
",",O,O
this,O,O
is,O,O
chieffly,O,O
to,O,O
desire,O,O
you,O,O
in,O,O
my,O,O
maistere's,O,O
(1a,O,O
),O,O
behalf,O,O
to,O,O
write,O,O
to,O,O
some,O,O
trusty,O,O
and,O,O
diligent,O,O
frend,O,O
of,O,O
youres,O,O
at,O,O
Andwarpe,O,O
",",O,O
to,O,O
provide,O,O
him,O,O
jC,O,O
Cullen,O,O
cliffes,O,O
of,O,O
xxj,O,O
fote,O,O
of,O,O
lenght,O,O
(if,O,O
it,O,O
be,O,O
possible,O,O
to,O,O
fynde,O,O
anny,O,O
so,O,O
long,O,O
",",O,O
or,O,O
ellis,O,O
of,O,O
the,O,O
longest,O,O
that,O,O
be,O,O
made,O,O
),O,O
for,O,O
to,O,O
make,O,O
speres,O,O
of,O,O
",",O,O
and,O,O
di,O,O
.,O,O
hondreth,O,O
of,O,O
javeling,O,O
staves,O,O
also,O,O
of,O,O
the,O,O
longest,O,O
",",O,O
with,O,O
long,O,O
slender,O,O
heedes,O,O
unto,O,O
them,O,O
",",O,O
or,O,O
the,O,O
staves,O,O
withoute,O,O
heedes,O,O
",",O,O
rather,O,O
than,O,O
to,O,O
have,O,O
them,O,O
with,O,O
the,O,O
comen,O,O
sorte,O,O
of,O,O
brodes,O,O
heedes,O,O
;,O,O
which,O,O
thinges,O,O
to,O,O
be,O,O
sent,O,O
hiether,O,O
unto,O,O
me,O,O
with,O,O
all,O,O
diligence,O,O
possible,O,O
",",O,O
for,O,O
he,O,O
doubteth,O,O
to,O,O
have,O,O
nede,O,O
of,O,O
them,O,O
sooner,O,O
than,O,O
anny,O,O
wil,O,O
be,O,O
bought,O,O
hier,O,O
for,O,O
him,O,O
",",O,O
withoute,O,O
expresse,O,O
writing,O,O
into,O,O
Flanders,O,O
for,O,O
them,O,O
",",O,O
wherfor,O,O
you,O,O
may,O,O
do,O,O
him,O,O
and,O,O
me,O,O
also,O,O
moche,O,O
pleasur,O,O
if,O,O
thies,O,O
thinges,O,O
may,O,O
be,O,O
sent,O,O
him,O,O
veray,O,O
shortely,O,O
",",O,O
and,O,O
your,O,O
monney,O,O
shal,O,O
be,O,O
hier,O,O
redy,O,O
for,O,O
you,O,O
",",O,O
at,O,O
sight,O,O
or,O,O
your,O,O
owne,O,O
pleasur,O,O
.,O,O
Add,O,O
.,O,O
Unto,O,O
John,O,O
Johnson,O,O
",",O,O
merchant,O,O
of,O,O
the,O,O
Stapull,O,O
",",O,O
this,O,O
be,O,O
delyverd,O,O
in,O,O
Callys,O,O
.,O,O
End,O,O
.,O,O
1552,B,B
",",O,O
from,O,O
Michel,O,O
Mulier,O,O
at,O,O
Andwerp,O,O
",",O,O
le,B,B
12,I,I
Marche,I,I
;,O,O
receyved,O,O
at,O,O
London,O,O
le,B,B
17,I,I
;,O,O
aunsweryd,O,O
le,B,B
19,I,I
.,O,O
Add,O,O
.,O,O
To,O,O
the,O,O
worshipfull,O,O
and,O,O
my,O,O
loving,O,O
brother,O,O
John,O,O
Johnson,O,O
",",O,O
marchaunt,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Callais,O,O
",",O,O
be,O,O
this,O,O
delyvered,O,O
at,O,O
Callais,O,O
or,O,O
Andwerp,O,O
.,O,O
After,O,O
dew,O,O
commendations,O,O
unto,O,O
you,O,O
and,O,O
my,O,O
awnt,O,O
",",O,O
with,O,O
all,O,O
other,O,O
freindes,O,O
wher,O,O
ye,O,O
be,O,O
",",O,O
these,O,O
maye,O,O
be,O,O
to,O,O
advertyse,O,O
you,O,O
of,O,O
the,O,O
recept,O,O
of,O,O
your,O,O
lettre,O,O
of,O,O
the,B,B
v,I,I
of,I,I
this,I,I
present,I,I
moneth,I,I
by,O,O
my,O,O
brother,O,O
Ambrose,O,O
;,O,O
(1a,O,O
),O,O
and,O,O
wheras,O,O
I,O,O
was,O,O
determyned,O,O
to,O,O
have,O,O
this,O,O
mornynge,O,O
departed,O,O
towardes,O,O
Callais,O,O
",",O,O
their,O,O
to,O,O
have,O,O
as,O,O
well,O,O
performed,O,O
my,O,O
promes,O,O
to,O,O
the,O,O
Company,O,O
as,O,O
allso,O,O
to,O,O
have,O,O
procedid,O,O
in,O,O
other,O,O
my,O,O
necessarye,O,O
busynes,O,O
",",O,O
which,O,O
in,O,O
no,O,O
manner,O,O
cannot,O,O
be,O,O
done,O,O
withowt,O,O
myselfe,O,O
",",O,O
for,O,O
Humphe,O,O
Lightfote,O,O
havinge,O,O
made,O,O
no,O,O
manner,O,O
of,O,O
saelles,O,O
their,O,O
to,O,O
the,O,O
Hollanders,O,O
of,O,O
Harlem,O,O
that,O,O
lately,O,O
bowght,O,O
xviij,O,O
M,O,O
.,O,O
felles,O,O
",",O,O
yt,O,O
wer,O,O
very,O,O
nedfull,O,O
for,O,O
me,O,O
to,O,O
make,O,O
provision,O,O
for,O,O
monney,O,O
to,O,O
dispatche,O,O
that,O,O
ye,O,O
looke,O,O
to,O,O
have,O,O
of,O,O
me,O,O
this,B,O
Mychellmas,I,B
",",O,O
and,O,O
allso,O,O
to,O,O
paye,O,O
unto,O,O
other,O,O
that,O,O
I,O,O
owe,O,O
monney,O,O
unto,O,O
bothe,O,O
for,O,O
wullis,O,O
and,O,O
fellis,O,O
;,O,O
nowe,O,O
am,O,O
compelled,O,O
onles,O,O
I,O,O
wold,O,O
seme,O,O
to,O,O
forsake,O,O
you,O,O
in,O,O
your,O,O
nede,O,O
",",O,O
and,O,O
so,O,O
purchase,O,O
your,O,O
displeasure,O,O
),O,O
to,O,O
leave,O,O
all,O,O
my,O,O
busynes,O,O
at,O,O
aventeur,O,O
",",O,O
and,O,O
to,O,O
what,O,O
hynderans,O,O
yt,O,O
will,O,O
tourne,O,O
me,O,O
to,O,O
",",O,O
God,O,O
knowith,O,O
.,O,O
The,O,O
fairest,O,O
of,O,O
it,O,O
is,O,O
that,O,O
I,O,O
shal,O,O
be,O,O
constrayned,O,O
to,O,O
take,O,O
up,O,O
monney,O,O
by,O,O
exchaunge,O,O
for,O,O
interest,O,O
to,O,O
furnyshe,O,O
my,O,O
busynes,O,O
",",O,O
wheras,O,O
if,O,O
I,O,O
myght,O,O
a,O,O
gone,O,O
nowe,O,O
to,O,O
Callais,O,O
as,O,O
I,O,O
was,O,O
apoynted,O,O
",",O,O
I,O,O
myght,O,O
have,O,O
made,O,O
other,O,O
"provision,I",O,O
dowght,O,O
not,O,O
.,O,O
Yf,O,O
I,O,O
hed,O,O
apoynted,O,O
