word,true_label,predictions
Your,O,O
lettre,O,O
of,O,O
yesterdaye's,O,O
writing,O,O
",",O,O
by,O,O
the,O,O
date,O,O
therof,O,O
",",O,O
I,O,O
receyved,O,O
a,O,O
litill,O,O
befor,O,O
souper,O,O
tyme,O,O
welbeloved,O,O
brother),O,O
",",O,O
and,O,O
by,O,O
the,O,O
same,O,O
I,O,O
perceave,O,O
all,O,O
your,O,O
mynd,O,O
",",O,O
as,O,O
well,O,O
concerning,O,O
your,O,O
bedstedes,O,O
as,O,O
Sir,O,O
John,O,O
Butlar's,O,O
plate,O,O
",",O,O
and,O,O
therfor,O,O
according,O,O
to,O,O
the,O,O
same,O,O
I,O,O
will,O,O
study,O,O
to,O,O
performe,O,O
the,O,O
thinges,O,O
.,O,O
Howbeit,O,O
as,O,O
this,O,O
day,O,O
and,O,O
two,O,O
dayes,O,O
more,O,O
",",O,O
I,O,O
thinke,O,O
that,O,O
I,O,O
shall,O,O
have,O,O
small,O,O
leasur,O,O
bycause,O,O
of,O,O
my,O,O
maistere's,O,O
buysines,O,O
",",O,O
who,O,O
is,O,O
nowe,O,O
come,O,O
from,O,O
the,B,O
Courte,I,O
and,O,O
doeth,O,O
laye,O,O
hier,O,O
in,O,O
London,B,B
for,O,O
the,O,O
tyme,O,O
aforenamed,O,O
:,O,O
notwithstonding,O,O
",",O,O
I,O,O
pray,O,O
you,O,O
",",O,O
make,O,O
no,O,O
doubt,O,O
of,O,O
the,O,O
doing,O,O
of,O,O
everything,O,O
in,O,O
convenient,O,O
tyme,O,O
ynough,O,O
.,O,O
After,O,O
moste,O,O
hartey,O,O
recomendacions,O,O
hade,O,O
",",O,O
this,O,O
may,O,O
advertise,O,O
you,O,O
that,O,O
dyvers,O,O
of,O,O
yours,O,O
I,O,O
have,O,O
receyved,O,O
",",O,O
etc.,O,O
",",O,O
.,O,O
it,O,O
;,O,O
of,O,O
your,O,O
reconynge,O,O
you,O,O
shall,O,O
receyve,O,O
.,O,O
Allso,O,O
",",O,O
by,O,O
the,O,O
order,O,O
of,O,O
this,O,O
berer,O,O
Richard,O,O
Wilk,O,O
.,O,O
.,O,O
.,O,O
.(2,O,O
),O,O
you,O,O
shall,O,O
receyve,O,O
sealled,O,O
in,O,O
a,O,O
bagge,O,O
.,O,O
70,O,O
li,O,O
11,O,O
s,O,O
8,O,O
d,O,O
Fl.,O,O
",",O,O
and,O,O
according,O,O
unto,O,O
your,O,O
obligation,O,O
dew,O,O
per,O,O
Corneliz,O,O
Ban,O,O
",",O,O
I,O,O
have,O,O
receyved,O,O
allso,O,O
the,O,O
money,O,O
for,O,O
the,O,O
same,O,O
",",O,O
and,O,O
in,O,O
the,O,O
receyt,O,O
of,O,O
the,O,O
reste,O,O
of,O,O
the,O,O
bills,O,O
dewe,O,O
this,O,O
Payz,O,O
Marte,O,O
",",O,O
I,O,O
shall,O,O
doo,O,O
my,O,O
beste,O,O
will,O,O
toward,O,O
accomplysshyng,O,O
your,O,O
paymentes,O,O
accordingly,O,O
.,O,O
As,O,O
consernyng,O,O
sturgon,O,O
which,O,O
you,O,O
will,O,O
me,O,O
to,O,O
by,O,O
",",O,O
the,O,O
same,O,O
I,O,O
shall,O,O
have,O,O
in,O,O
remembraunce,O,O
.,O,O
Thus,O,O
moste,O,O
hartyly,O,O
fayre,O,O
you,O,O
well,O,O
.,O,O
At,O,O
London,B,B
",",O,O
the,O,O
first,O,O
in,O,O
July,O,O
",",O,O
1542,O,O
.,O,O
Recommend,O,O
me,O,O
to,O,O
Mr,O,O
.,O,O
Dixen,O,O
and,O,O
other,O,O
my,O,O
ffryndes,O,O
theer,O,O
.,O,O
Goo,O,O
not,O,O
to,O,O
nye,O,O
hand,O,O
thoff,O,O
ye,O,O
gyve,O,O
som,O,O
reward,O,O
",",O,O
ooneles,O,O
there,O,O
heed,O,O
be,O,O
well,O,O
abell,O,O
to,O,O
bere,O,O
the,O,O
tayll,O,O
;,O,O
and,O,O
for,O,O
a,O,O
few,O,O
bratte's,O,O
