word,true_label,predictions
And,O,O
thus,O,O
Our,O,O
Lord,O,O
preserve,O,O
you,O,O
in,O,O
helthe,O,O
.,O,O
416,O,O
.,O,O
JOHN,B,B
JOHNSON,I,I
TO,O,O
BARTHOLOMEW,B,B
HOSE,I,I
Thus,O,O
they,O,O
will,O,O
take,O,O
me,O,O
for,O,O
thayer,O,O
merchant,O,O
",",O,O
and,O,O
you,O,O
shall,O,O
have,O,O
them,O,O
again,O,O
at,O,O
my,O,O
haundes,O,O
as,O,O
I,O,O
have,O,O
them,O,O
",",O,O
if,O,O
you,O,O
will,O,O
",",O,O
or,O,O
ellis,O,O
for,O,O
this,O,O
year,O,O
they,O,O
will,O,O
give,O,O
me,O,O
an,O,O
honest,O,O
piese,O,O
of,O,O
money,O,O
to,O,O
be,O,O
loose,O,O
from,O,O
me,O,O
.,O,O
Advise,O,O
me,O,O
therefore,O,O
at,O,O
full,O,O
of,O,O
your,O,O
fantasy,O,O
therein,O,O
with,O,O
speed,O,O
.,O,O
I,O,O
showed,O,O
Mr,B,B
.,I,I
Cave,I,I
somewhat,O,O
of,O,O
this,O,O
matter,O,O
before,O,O
his,O,O
going,O,O
over,O,O
",",O,O
but,O,O
not,O,O
so,O,O
much,O,O
as,O,O
I,O,O
write,O,O
hear,O,O
:,O,O
whereunto,O,O
he,O,O
made,O,O
me,O,O
no,O,O
determinate,O,O
answer,O,O
",",O,O
but,O,O
yet,O,O
it,O,O
seemed,O,O
by,O,O
him,O,O
that,O,O
he,O,O
wold,O,O
not,O,O
have,O,O
the,O,O
bargain,O,O
utterly,O,O
refused,O,O
.,O,O
Notwithstanding,O,O
",",O,O
I,O,O
have,O,O
concluded,O,O
as,O,O
is,O,O
abovesayd,O,O
",",O,O
and,O,O
ye,O,O
may,O,O
choose,O,O
whether,O,O
you,O,O
will,O,O
accept,O,O
the,O,O
bargain,O,O
or,O,O
not,O,O
",",O,O
so,O,O
you,O,O
answer,O,O
me,O,O
shortly,O,O
hierin,O,O
.,O,O
Add,O,O
.,O,O
To,O,O
my,O,O
right,O,O
trusty,O,O
friend,O,O
John,B,B
Johnson,I,I
",",O,O
merchant,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Calais,O,O
",",O,O
this,O,O
be,O,O
delivered,O,O
at,O,O
London,O,O
.,O,O
Jhesus,O,O
",",O,O
le,O,O
11,O,O
jour,O,O
June,O,O
",",O,O
anno,O,O
1542.(1,O,O
),O,O
Walter,B,B
Calcotte's,I,I
litre,O,O
of,O,O
the,O,O
sail,O,O
of,O,O
his,O,O
falls,O,O
I,O,O
perceive,O,O
not,O,O
to,O,O
be,O,O
at,O,O
so,O,O
high,O,O
price,O,O
",",O,O
for,O,O
the,O,O
winter,O,O
Londons,O,O
be,O,O
old,O,O
.,O,O
At,O,O
London,O,O
",",O,O
the,O,O
22th,O,O
in,O,O
December,O,O
",",O,O
1548,O,O
.,O,O
Your,O,O
loving,O,O
brother,O,O
",",O,O
To,O,O
one,O,O
Lawrence,B,B
Bradshaw,I,I
and,O,O
his,O,O
fellow,O,O
",",O,O
servants,O,O
with,O,O
your,O,B
cousin,O,I
Sanders,B,I
of,I,I
Harington,I,I
",",O,O
(2a,O,O
),O,O
for,O,O
money,O,O
hear,O,O
received,O,O
of,O,O
them,O,O
6li,O,O
11,O,O
0,O,O
Yours,O,O
",",O,O
Reckoning,O,O
not,O,O
transcribed,O,O
Add,O,O
.,O,O
To,O,O
my,O,O
loving,O,O
friend,O,O
John,B,B
Johnson,I,I
",",O,O
merchant,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Collies,O,O
Henry,B,B
Suthwike,I,I
.,O,O
Add,O,O
.,O,O
To,O,O
his,O,O
singular,O,O
good,O,O
friend,O,O
John,B,B
Johnson,I,I
",",O,O
merchant,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Calls,O,O
",",O,O
be,O,O
this,O,O
delivered,O,O
at,O,O
Andwarpe,O,O
SP,O,O
465,O,O
f.114r,O,O
.,O,O
Your,O,O
loving,O,O
brother,O,O
",",O,O
Jhesus,O,O
",",O,O
at,O,O
Tickfford,O,O
the,O,O
11,O,O
in,O,O
March,O,O
",",O,O
anno,O,O
1547,O,O
At,O,O
London,O,O
",",O,O
the,O,O
12th,O,O
in,O,O
Jung,O,O
",",O,O
1551,O,O
.,O,O
Your,O,O
loving,O,O
husbond,O,O
",",O,O
According,O,O
unto,O,O
your,O,O
writing,O,O
in,O,O
your,O,O
said,O,O
litre,O,O
received,O,O
",",O,O
I,O,O
have,O,O
given,O,O
Robert,B,B
Andrew,I,I
adyyce,O,O
for,O,O
the,O,O
paiement,O,O
of,O,O
your,O,O
bills,O,O
to,O,O
John,B,B
Caerle,I,I
",",O,O
(1a,O,O
),O,O
and,O,O
also,O,O
of,O,O
that,O,O
which,O,O
ye,O,O
intend,O,O
to,O,O
charge,O,O
him,O,O
more,O,O
with,O,O
",",O,O
praying,O,O
you,O,O
that,O,O
I,O,O
may,O,O
have,O,O
your,O,O
pleasure,O,O
of,O,O
all,O,O
things,O,O
in,O,O
writing,O,O
with,O,O
all,O,O
speed,O,O
",",O,O
for,O,O
I,O,O
am,O,O
purposed,O,O
onless,O,O
other,O,O
occasions,O,O
let,O,O
then,O,O
I,O,O
know,O,O
),O,O
to,O,O
be,O,O
ready,O,O
about,O,O
th'end,O,O
of,O,O
the,O,O
next,O,O
weke,O,O
to,O,O
sum,O,O
over,O,O
to,O,O
you,O,O
into,O,O
England,O,O
with,O,O
my,B,B
brother,I,I
Richard,I,I
",",O,O
ads,O,O
the,O,O
Lord,O,O
knows,O,O
",",O,O
Who,O,O
keep,O,O
you,O,O
.,O,O
143,O,O
.,O,O
OTWELL,B,B
JOHNSON,I,I
TO,O,O
JOHN,B,B
JOHNSON,I,I
Mr,B,B
.,I,I
White,I,I
",",O,O
And,O,O
for,O,O
that,O,O
that,O,O
touchet,O,O
your,O,O
mother's,O,O
(3,O,O
),O,O
wins,O,O
",",O,O
even,O,O
as,O,O
I,O,O
have,O,O
written,O,O
unto,O,O
you,O,O
before,O,O
this,O,O
time,O,O
",",O,O
so,O,O
I,O,O
say,O,O
now,O,O
:,O,O
that,O,O
is,O,O
",",O,O
of,O,O
Gascon,O,O
wine,O,O
I,O,O
hope,O,O
to,O,O
serve,O,O
her,O,O
well,O,O
of,O,O
mine,O,O
own,O,O
wins,O,O
",",O,O
whenever,O,O
her,O,O
carriage,O,O
shall,O,O
be,O,O
ready,O,O
hear,O,O
",",O,O
but,O,O
for,O,O
malvesey,O,O
I,O,O
know,O,O
not,O,O
yet,O,O
where,O,O
to,O,O
speed,O,O
her,O,O
pourpos,O,O
very,O,O
well,O,O
;,O,O
but,O,O
my,O,O
diligence,O,O
shall,O,O
not,O,O
be,O,O
missing,O,O
for,O,O
the,O,O
seking,O,O
