word,true_label,predictions
And,O,O
thus,O,O
Our,O,O
Lord,O,O
preserve,O,O
youe,O,O
in,O,O
helthe,O,O
.,O,O
416,O,O
.,O,O
JOHN,B,B
JOHNSON,I,I
TO,O,O
BARTHOLOMEW,B,B
HOSSE,I,I
Thus,O,O
thay,O,O
will,O,O
take,O,O
me,O,O
for,O,O
thayer,O,O
marchant,O,O
",",O,O
and,O,O
you,O,O
shall,O,O
have,O,O
them,O,O
agen,O,O
at,O,O
my,O,O
haundes,O,O
as,O,O
I,O,O
have,O,O
them,O,O
",",O,O
if,O,O
you,O,O
will,O,O
",",O,O
or,O,O
ellis,O,O
for,O,O
this,O,O
yeir,O,O
thay,O,O
will,O,O
gyve,O,O
me,O,O
an,O,O
honnest,O,O
piese,O,O
of,O,O
monney,O,O
to,O,O
be,O,O
loose,O,O
from,O,O
me,O,O
.,O,O
Advise,O,O
me,O,O
therfor,O,O
at,O,O
full,O,O
of,O,O
your,O,O
fantasy,O,O
therin,O,O
with,O,O
spede,O,O
.,O,O
I,O,O
shewed,O,O
Mr,B,B
.,I,I
Cave,I,I
somewhat,O,O
of,O,O
this,O,O
mater,O,O
befor,O,O
his,O,O
going,O,O
over,O,O
",",O,O
but,O,O
not,O,O
so,O,O
moche,O,O
as,O,O
I,O,O
write,O,O
hier,O,O
:,O,O
wherunto,O,O
he,O,O
made,O,O
me,O,O
no,O,O
determinate,O,O
aunswer,O,O
",",O,O
but,O,O
yet,O,O
it,O,O
semed,O,O
by,O,O
him,O,O
that,O,O
he,O,O
wold,O,O
not,O,O
have,O,O
the,O,O
bargaine,O,O
utterly,O,O
refused,O,O
.,O,O
Notwithstonding,O,O
",",O,O
I,O,O
have,O,O
concluded,O,O
as,O,O
is,O,O
abovesayd,O,O
",",O,O
and,O,O
ye,O,O
may,O,O
chuse,O,O
whether,O,O
you,O,O
will,O,O
accept,O,O
the,O,O
bargaine,O,O
or,O,O
not,O,O
",",O,O
so,O,O
you,O,O
aunswer,O,O
me,O,O
shortely,O,O
hierin,O,O
.,O,O
Add,O,O
.,O,O
To,O,O
my,O,O
ryght,O,O
trusty,O,O
friend,O,O
John,B,B
Johnson,I,I
",",O,O
marchant,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Callais,O,O
",",O,O
this,O,O
be,O,O
delyvered,O,O
at,O,O
London,O,O
.,O,O
Jhesus,O,O
",",O,O
le,O,O
11,O,O
jour,O,O
June,O,O
",",O,O
anno,O,O
1542.(1,O,O
),O,O
Walter,B,B
Calcotte's,I,I
lettre,O,O
of,O,O
the,O,O
saell,O,O
of,O,O
his,O,O
fellis,O,O
I,O,O
perceave,O,O
not,O,O
to,O,O
be,O,O
at,O,O
so,O,O
highe,O,O
price,O,O
",",O,O
for,O,O
the,O,O
wynter,O,O
Londons,O,O
be,O,O
old,O,O
.,O,O
At,O,O
London,O,O
",",O,O
the,O,O
22th,O,O
in,O,O
December,O,O
",",O,O
1548,O,O
.,O,O
Your,O,O
loving,O,O
brother,O,O
",",O,O
To,O,O
one,O,O
Lawrence,B,B
Bradshawe,I,I
and,O,O
his,O,O
fellowe,O,O
",",O,O
-servauntes,O,O
with,O,O
your,O,B
cosin,O,I
Sanders,B,I
of,I,O
Harington,I,O
",",O,O
(2a,O,O
),O,O
for,O,O
money,O,O
hier,O,O
receyved,O,O
of,O,O
them,O,O
6li,O,O
11,O,O
0,O,O
Yours,O,O
",",O,O
Reckoning,O,O
not,O,O
transcribed,O,O
Add,O,O
.,O,O
To,O,O
my,O,O
loving,O,O
frend,O,O
John,B,B
Johnsone,I,I
",",O,O
marchant,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Calleis,O,O
Henry,B,B
Suthwike,I,I
.,O,O
Add,O,O
.,O,O
To,O,O
his,O,O
singuler,O,O
good,O,O
frind,O,O
John,B,B
Johnson,I,I
",",O,O
marchant,O,O
of,O,O
the,O,O
Staple,O,O
at,O,O
Calles,O,O
",",O,O
be,O,O
this,O,O
delyvered,O,O
at,O,O
Andwarpe,O,O
SP,O,O
465,O,O
f.114r,O,O
.,O,O
Your,O,O
loving,O,O
brother,O,O
",",O,O
Jhesus,O,O
",",O,O
at,O,O
Tickfford,O,O
the,O,O
11,O,O
in,O,O
Marche,O,O
",",O,O
anno,O,O
1547,O,O
At,O,O
London,O,O
",",O,O
the,O,O
12th,O,O
in,O,O
Jung,O,O
",",O,O
1551,O,O
.,O,O
Your,O,O
loving,O,O
husbond,O,O
",",O,O
Accordyng,O,O
unto,O,O
your,O,O
writyng,O,O
in,O,O
your,O,O
said,O,O
lettre,O,O
receavid,O,O
",",O,O
I,O,O
have,O,O
gyven,O,O
Robert,B,B
Andrewe,I,I
adyyce,O,O
for,O,O
the,O,O
paiement,O,O
of,O,O
your,O,O
bylles,O,O
to,O,O
John,B,B
Caerle,I,I
",",O,O
(1a,O,O
),O,O
and,O,O
also,O,O
of,O,O
that,O,O
which,O,O
ye,O,O
intend,O,O
to,O,O
charge,O,O
hym,O,O
more,O,O
with,O,O
",",O,O
praying,O,O
youe,O,O
that,O,O
I,O,O
may,O,O
have,O,O
your,O,O
plesure,O,O
of,O,O
all,O,O
thynges,O,O
in,O,O
writyng,O,O
with,O,O
all,O,O
spede,O,O
",",O,O
for,O,O
I,O,O
am,O,O
purposed,O,O
onless,O,O
other,O,O
occasyons,O,O
let,O,O
then,O,O
I,O,O
knowe,O,O
),O,O
to,O,O
be,O,O
redy,O,O
abowte,O,O
th'end,O,O
of,O,O
the,O,O
next,O,O
weke,O,O
to,O,O
cumme,O,O
over,O,O
to,O,O
youe,O,O
into,O,O
England,O,O
with,O,O
my,B,B
brother,I,I
Richard,I,I
",",O,O
ads,O,O
the,O,O
Lord,O,O
knowith,O,O
",",O,O
Who,O,O
kepe,O,O
youe,O,O
.,O,O
143,O,O
.,O,O
OTWELL,B,B
JOHNSON,I,I
TO,O,O
JOHN,B,B
JOHNSON,I,I
Mr,B,B
.,I,I
White,I,I
",",O,O
And,O,O
for,O,O
that,O,O
that,O,O
touchet,O,O
your,O,O
mother's,O,O
(3,O,O
),O,O
wins,O,O
",",O,O
even,O,O
as,O,O
I,O,O
have,O,O
written,O,O
unto,O,O
you,O,O
befor,O,O
this,O,O
tyme,O,O
",",O,O
so,O,O
I,O,O
say,O,O
nowe,O,O
:,O,O
that,O,O
is,O,O
",",O,O
of,O,O
Gascon,O,O
wine,O,O
I,O,O
hope,O,O
to,O,O
serve,O,O
her,O,O
well,O,O
of,O,O
myn,O,O
owne,O,O
wins,O,O
",",O,O
whansoever,O,O
her,O,O
carriage,O,O
shal,O,O
be,O,O
redy,O,O
hier,O,O
",",O,O
but,O,O
for,O,O
malvesey,O,O
I,O,O
knowe,O,O
not,O,O
yet,O,O
wher,O,O
to,O,O
spede,O,O
her,O,O
pourpos,O,O
very,O,O
