word,true_label,predictions
More,O,O
his,O,O
byll,O,O
",",O,O
as,O,O
he,O,O
writeth,O,O
me,O,O
this,O,O
day,O,O
",",O,O
to,O,O
Giles,O,O
Hofftman,O,O
",",O,O
dew,O,O
the,O,O
last,O,O
of,O,O
this,O,O
moneth,O,O
",",O,O
is,O,O
088li,B,B
-,I,I
-,I,I
Fl,I,I
.,O,O
And,O,O
to,O,O
Henry,O,O
Grover,O,O
the,O,O
last,O,O
in,O,O
Juyne,O,O
055,B,B
16,I,I
8,I,I
Fl,I,I
.,O,O
Somme,O,O
850li,B,B
6,I,I
8,I,I
Fl,I,I
.,O,O
I,O,O
have,O,O
taken,O,O
of,O,O
the,O,O
Hollanders,O,O
apon,O,O
your,O,O
wulles,O,O
and,O,O
felles,O,O
besydes,O,O
120li,B,B
0s,I,I
0d,I,I
which,O,O
Ambrose,O,O
hathe,O,O
taken,O,O
380li,B,B
-,O,I
-,O,I
A,O,O
coppe,O,O
of,O,O
a,O,O
lettre,O,O
My,O,O
syster,O,O
your,O,O
wiffe's,O,O
newe,O,O
kirtell,O,O
",",O,O
your,O,O
peticoett,O,O
",",O,O
cappe,O,O
",",O,O
and,O,O
all,O,O
other,O,O
thinges,O,O
wrytton,O,O
for,O,O
my,O,O
syster,O,O
",",O,O
Raeff,O,O
doetn,O,O
bring,O,O
you,O,O
",",O,O
desiring,O,O
you,O,O
and,O,O
my,O,O
said,O,O
syster,O,O
to,O,O
take,O,O
my,O,O
Mary's,O,O
remembrances,O,O
and,O,O
myn,O,O
in,O,O
good,O,O
wourth,O,O
.,O,O
Thus,O,O
thay,O,O
will,O,O
take,O,O
me,O,O
for,O,O
thayer,O,O
marchant,O,O
",",O,O
and,O,O
you,O,O
shall,O,O
have,O,O
them,O,O
agen,O,O
at,O,O
my,O,O
haundes,O,O
as,O,O
I,O,O
have,O,O
them,O,O
",",O,O
if,O,O
you,O,O
will,O,O
",",O,O
or,O,O
ellis,O,O
for,O,O
this,O,O
yeir,O,O
thay,O,O
will,O,O
gyve,O,O
me,O,O
an,O,O
honnest,O,O
piese,O,O
of,O,O
monney,O,O
to,O,O
be,O,O
loose,O,O
from,O,O
me,O,O
.,O,O
Advise,O,O
me,O,O
therfor,O,O
at,O,O
full,O,O
of,O,O
your,O,O
fantasy,O,O
therin,O,O
with,O,O
spede,O,O
.,O,O
I,O,O
shewed,O,O
Mr,O,O
.,O,O
Cave,O,O
somewhat,O,O
of,O,O
this,O,O
mater,O,O
befor,O,O
his,O,O
going,O,O
over,O,O
",",O,O
but,O,O
not,O,O
so,O,O
moche,O,O
as,O,O
I,O,O
write,O,O
hier,O,O
:,O,O
wherunto,O,O
he,O,O
made,O,O
me,O,O
no,O,O
determinate,O,O
aunswer,O,O
",",O,O
but,O,O
yet,O,O
it,O,O
semed,O,O
by,O,O
him,O,O
that,O,O
he,O,O
wold,O,O
not,O,O
have,O,O
the,O,O
bargaine,O,O
utterly,O,O
refused,O,O
.,O,O
Notwithstonding,O,O
",",O,O
I,O,O
have,O,O
concluded,O,O
as,O,O
is,O,O
abovesayd,O,O
",",O,O
and,O,O
ye,O,O
may,O,O
chuse,O,O
whether,O,O
you,O,O
will,O,O
accept,O,O
the,O,O
bargaine,O,O
or,O,O
not,O,O
",",O,O
so,O,O
you,O,O
aunswer,O,O
me,O,O
shortely,O,O
hierin,O,O
.,O,O
Sir,O,O
",",O,O
this,O,O
is,O,O
chieffly,O,O
to,O,O
desire,O,O
you,O,O
in,O,O
my,O,O
maistere's,O,O
(1a,O,O
),O,O
behalf,O,O
to,O,O
write,O,O
to,O,O
some,O,O
trusty,O,O
and,O,O
diligent,O,O
frend,O,O
of,O,O
youres,O,O
at,O,O
Andwarpe,O,O
",",O,O
to,O,O
provide,O,O
him,O,O
jC,O,O
Cullen,O,O
cliffes,O,O
of,O,O
xxj,O,O
fote,O,O
of,O,O
lenght,O,O
(if,O,O
it,O,O
be,O,O
possible,O,O
to,O,O
fynde,O,O
anny,O,O
so,O,O
long,O,O
",",O,O
or,O,O
ellis,O,O
of,O,O
the,O,O
longest,O,O
that,O,O
be,O,O
made,O,O
),O,O
for,O,O
to,O,O
make,O,O
speres,O,O
of,O,O
",",O,O
and,O,O
di,O,O
.,O,O
hondreth,O,O
of,O,O
javeling,O,O
staves,O,O
also,O,O
of,O,O
the,O,O
longest,O,O
",",O,O
with,O,O
long,O,O
slender,O,O
heedes,O,O
unto,O,O
them,O,O
",",O,O
or,O,O
the,O,O
staves,O,O
withoute,O,O
heedes,O,O
",",O,O
rather,O,O
than,O,O
to,O,O
have,O,O
them,O,O
with,O,O
the,O,O
comen,O,O
sorte,O,O
of,O,O
brodes,O,O
heedes,O,O
;,O,O
which,O,O
thinges,O,O
to,O,O
be,O,O
sent,O,O
hiether,O,O
unto,O,O
me,O,O
with,O,O
all,O,O
diligence,O,O
possible,O,O
",",O,O
for,O,O
he,O,O
doubteth,O,O
to,O,O
have,O,O
nede,O,O
of,O,O
them,O,O
sooner,O,O
than,O,O
anny,O,O
wil,O,O
be,O,O
bought,O,O
hier,O,O
for,O,O
him,O,O
",",O,O
withoute,O,O
expresse,O,O
writing,O,O
into,O,O
Flanders,O,O
for,O,O
them,O,O
",",O,O
wherfor,O,O
you,O,O
may,O,O
do,O,O
him,O,O
