word,true_label,predictions
Add,O,O
.,O,O
To,O,O
London,O,O
at,O,O
Callais,O,O
",",O,O
per,O,O
Youres,O,O
to,O,O
his,O,O
smalle,O,O
powre,O,O
",",O,O
At,O,O
London,O,O
",",O,O
the,O,O
25th,O,O
in,O,O
December,O,O
",",O,O
1548,O,O
.,O,O
In,O,O
my,O,O
hertie,O,O
wyse,O,O
",",O,O
beloved,O,O
wyf,O,O
",",O,O
trusting,O,O
of,O,O
your,O,O
helthe,O,O
",",O,O
whiche,O,O
the,O,O
Lord,O,O
contenew,O,O
",",O,O
etc,O,O
.,O,O
Your,O,O
lettre,O,O
of,O,O
the,O,O
vth,O,O
of,O,O
this,O,O
present,O,O
moneth,O,O
I,O,O
have,O,O
receavyd,O,O
",",O,O
for,O,O
the,O,O
whiche,O,O
I,O,O
thancke,O,O
you,O,O
",",O,O
being,O,O
glad,O,O
ye,O,O
perseave,O,O
so,O,O
well,O,O
what,O,O
a,O,O
good,O,O
husbond,O,O
I,O,O
am,O,O
",",O,O
and,O,O
I,O,O
trust,O,O
you,O,O
will,O,O
let,O,O
it,O,O
be,O,O
an,O,O
example,O,O
to,O,O
you,O,O
to,O,O
be,O,O
the,O,O
better,O,O
wyf,O,O
unto,O,O
me,O,O
.,O,O
After,O,O
herty,O,O
comendations,O,O
",",O,O
theise,O,O
maie,O,O
signifie,O,O
unto,O,O
you,O,O
that,O,O
unto,O,O
my,O,O
brother,O,O
Richard,O,O
Johnson,O,O
",",O,O
now,O,O
at,O,O
Callais,O,O
",",O,O
I,O,O
have,O,O
sent,O,O
a,O,O
lettre,O,O
directed,O,O
unto,O,O
you,O,O
",",O,O
which,O,O
I,O,O
have,O,O
wylled,O,O
hym,O,O
to,O,O
convey,O,O
unto,O,O
you,O,O
.,O,O
(1a,O,O
),O,O
In,O,O
the,O,O
same,O,O
I,O,O
desiered,O,O
you,O,O
to,O,O
make,O,O
up,O,O
in,O,O
your,O,O
bocke,O,O
my,O,O
accompt,O,O
",",O,O
and,O,O
the,O,O
rest,O,O
to,O,O
sett,O,O
in,O,O
a,O,O
new,O,O
place,O,O
on,O,O
the,O,O
name,O,O
of,O,O
John,O,O
and,O,O
Richard,O,O
Jonson,O,O
;,O,O
and,O,O
desiered,O,O
you,O,O
to,O,O
accept,O,O
suche,O,O
busines,O,O
as,O,O
my,O,O
brother,O,O
shall,O,O
assinge,O,O
unto,O,O
you,O,O
",",O,O
even,O,O
as,O,O
(I,O,O
thancke,O,O
you,O,O
),O,O
ye,O,O
have,O,O
done,O,O
for,O,O
me,O,O
.,O,O
And,O,O
now,O,O
I,O,O
shall,O,O
desyer,O,O
you,O,O
to,O,O
accept,O,O
ij,O,O
billes,O,O
of,O,O
exchange,O,O
",",O,O
first,O,O
and,O,O
secont,O,O
made,O,O
dew,O,O
to,O,O
Herman,O,O
Peper,O,O
of,O,O
Andwerpe,O,O
",",O,O
cont,O,O
.,O,O
28li,O,O
15s,O,O
0d,O,O
Fl.,O,O
",",O,O
and,O,O
ij,O,O
billes,O,O
",",O,O
first,O,O
and,O,O
seconde,O,O
",",O,O
made,O,O
dew,O,O
to,O,O
Laurens,O,O
Burkens,O,O
of,O,O
Andwerp,O,O
",",O,O
cont,O,O
.,O,O
51li,O,O
15s,O,O
0d,O,O
Fl.,O,O
",",O,O
(2a,O,O
),O,O
all,O,O
paieable,O,O
at,O,O
usans,O,O
",",O,O
which,O,O
is,O,O
the,O,O
vjth,O,O
of,O,O
Aprill,O,O
",",O,O
and,O,O
is,O,O
for,O,O
the,O,O
velew,O,O
receavid,O,O
of,O,O
John,O,O
Rowland,O,O
;,O,O
and,O,O
whereas,O,O
ye,O,O
have,O,O
not,O,O
in,O,O
your,O,O
handes,O,O
to,O,O
discharge,O,O
it,O,O
",",O,O
my,O,O
brother,O,O
Richard,O,O
aforsaid,O,O
hath,O,O
advise,O,O
to,O,O
send,O,O
you,O,O
",",O,O
or,O,O
to,O,O
send,O,O
you,O,O
right,O,O
shortly,O,O
",",O,O
a,O,O
greter,O,O
somme,O,O
of,O,O
monney,O,O
then,O,O
the,O,O
bylles,O,O
comme,O,O
to,O,O
.,O,O
As,O,O
the,O,O
Lord,O,O
knowith,O,O
",",O,O
Who,O,O
kepe,O,O
you,O,O
",",O,O
in,O,O
hast,O,O
.,O,O
At,O,O
London,O,O
",",O,O
the,O,O
first,O,O
in,O,O
July,O,O
",",O,O
1542,O,O
.,O,O
Thomas,O,O
Brudenell,O,O
.,O,O
End,O,O
.,O,O
1548,O,O
",",O,O
Tickford,O,O
",",O,O
8,O,O
August,O,O
.,O,O
From,O,O
my,O,O
oncle,O,O
Cave,O,O
conserning,O,O
felles,O,O
;,O,O
xli,O,O
sent,O,O
me,O,O
per,O,O
Clement,O,O
Smythe,O,O
.,O,O
Aunsweryd,O,O
le,O,O
10,O,O
in,O,O
August,O,O
",",O,O
etc,O,O
.,O,O
Jhesus,O,O
anno,O,O
1551,O,O
",",O,O
the,O,O
xxjth,O,O
in,O,O
September,O,O
",",O,O
at,O,O
Glapthorne,O,O
Of,O,O
the,O,O
Staple,O,O
busines,O,O
I,O,O
can,O,O
wryte,O,O
you,O,O
nothing,O,O
",",O,O
for,O,O
I,O,O
cam,O,O
but,O,O
yesterday,O,B
hether,O,I
.,O,O
I,O,O
thinke,O,O
ye,O,O
be,O,O
sertified,O,O
from,O,O
other,O,O
your,O,O
frendes,O,O
houe,O,O
all,O,O
thingis,O,O
be,O,O
",",O,O
howbeit,O,O
yf,O,O
we,O,O
have,O,O
annye,O,O
comfortable,O,O
newes,O,O
I,O,O
wyll,O,O
wryte,O,O
youe,O,O
theroff,O,O
.,O,O
Jhesus,O,O
",",O,O
le,O,O
11,O,O
jour,O,O
June,O,O
",",O,O
anno,O,O
1542.(1,O,O
),O,O
And,O,O
touchyng,O,O
my,O,O
deposyng,O,O
and,O,O
the,O,O
oversight,O,O
of,O,O
shippyng,O,O
the,O,O
hole,O,O
fellis,O,O
in,O,O
my,O,O
name,O,O
allone,O,O
",",O,O
shall,O,O
rest,O,O
untill,O,O
owre,O,O
meatyng,O,O
.,O,O
It,O,O
was,O,O
evyll,O,O
overseen,O,O
.,O,O
For,O,O
newes,O,O
",",O,O
you,O,O
shall,O,O
understond,O,O
that,O,O
this,B,B
day,I,I
I,O,O
have,O,O
ben,O,O
bold,O,O
to,O,O
move,O,O
my,O,O
maister,O,O
of,O,O
William,O,O
Stephins,O,O
',O,O
dispatche,O,O
",",O,O
at,O,O
the,O,O
great,O,O
sute,O,O
unto,O,O
me,O,O
made,O,O
on,O,O
his,O,O
wiffe's,O,O
behalf,O,O
and,O,O
her,O,O
frendes,O,O
hier,O,O
.,O,O
Wherin,O,O
I,O,O
have,O,O
found,O,O
him,O,O
very,O,O
gentill,O,O
",",O,O
as,O,O
he,O,O
is,O,O
ever,O,O
to,O,O
me,O,O
",",O,O
so,O,O
that,O,O
his,O,O
aunswer,O,O
was,O,O
that,O,O
he,O,O
knowith,O,O
well,O,O
that,O,O
the,O,O
Kinge's,O,O
Majestye,O,O
doeth,O,O
mynd,O,O
his,O,O
delyverance,O,O
",",O,O
and,O,O
therunto,O,O
he,O,O
will,O,O
move,O,O
his,O,O
grace,O,O
as,O,O
shortely,B,B
as,O,O
it,O,O
may,O,O
be,O,O
done,O,O
conveniently,O,O
;,O,O
but,O,O
nowe,B,O
great,O,O
buysines,O,O
of,O,O
Counsaile,O,O
doeth,O,O
let,O,O
him,O,O
",",O,O
for,O,O
the,O,O
Counsaile,O,O
doeth,O,O
sitt,O,O
dayly,B,B
",",O,O
and,O,O
th'Emperour's,O,O
Imbassadour,O,O
with,O,O
them,O,O
",",O,O
as,O,O
I,O,O
am,O,O
informed,O,O
.,O,O
(2,O,O
),O,O
When,O,O
God,O,O
sendes,O,O
you,O,O
to,O,O
London,O,O
",",O,O
I,O,O
praye,O,O
you,O,O
remember,O,O
to,O,O
take,O,O
your,O,O
othe,O,O
for,O,O
the,O,O
goodes,O,O
ye,O,O
have,O,O
now,O,O
shippyd,O,O
",",O,O
and,O,O
let,O,O
it,O,O
be,O,O
certefied,O,O
hether,O,O
with,O,O
all,O,O
sped,O,O
possible,O,O
;,O,O
the,O,O
cawse,O,O
I,O,O
am,O,O
sewer,O,O
ye,O,O
consider,O,O
.,O,O
(1b,O,O
),O,O
But,O,O
monney,O,O
still,O,O
Mychel,O,O
writeth,O,O
for,O,O
",",O,O
and,O,O
indede,O,O
I,O,O
suppose,O,O
that,O,O
I,O,O
have,O,O
receyved,O,O
100li,O,O
",",O,O
of,O,O
thayeres,O,O
sins,O,O
Garbrand,O,O
his,O,O
departing,O,O
hens,O,O
",",O,O
which,O,O
I,O,O
would,O,O
gladly,O,O
thay,O,O
hadd,O,O
.,O,O
I,O,O
praye,O,O
you,O,O
",",O,O
desyre,O,O
Robert,O,O
Andrewis,O,O
not,O,O
to,O,O
seace,O,O
callinge,O,O
on,O,O
the,O,O
woman,O,O
in,O,O
the,O,O
paund,O,O
untill,O,O
he,O,O
have,O,O
the,O,O
workes,O,O
I,O,O
left,O,O
hym,O,O
remembrans,O,O
of,O,O
",",O,O
and,O,O
to,O,O
send,O,O
them,O,O
me,O,O
hether,O,O
or,O,O
to,O,O
London,O,O
to,O,O
my,O,O
brother,O,O
(1b,O,O
),O,O
with,O,O
all,O,O
the,O,O
spede,O,O
possyble,O,O
.,O,O
I,O,O
intend,O,O
",",O,O
God,O,O
to,O,O
freind,O,O
",",O,O
into,O,O
Englond,O,O
this,O,B
next,O,B
weke,O,I
.,O,O
At,O,O
your,O,O
retourne,O,O
hether,O,O
",",O,O
in,O,O
the,O,O
saell,O,O
or,O,O
my,O,O
felles,O,O
yf,O,O
any,O,O
Hollanders,O,O
comme,O,O
",",O,O
I,O,O
praye,O,O
you,O,O
lett,O,O
Mr.Lightfote,O,O
have,O,O
your,O,O
helpe,O,O
",",O,O
accordinge,O,O
to,O,O
the,O,O
remembraunce,O,O
I,O,O
will,O,O
leave,O,O
with,O,O
hymn,O,O
.,O,O
(2b,O,O
),O,O
6,O,O
.,O,O
PARSON,O,O
THOMAS,O,O
SAXBY,O,O
TO,O,O
JOHN,O,O
JOHNSON,O,O
End,O,O
.,O,O
1551,O,O
",",O,O
from,O,O
Barthilmew,O,O
Warner,O,O
at,O,O
London,O,O
",",O,O
29,O,O
December,O,O
;,O,O
receyved,O,O
at,O,O
Glapthorne,O,O
le,O,O
3,O,O
January,O,O
;,O,O
aunsweryd,O,O
by,O,O
mowthe,O,O
By,O,O
Raeff,O,O
aforenamed,O,O
I,O,O
aunswered,O,O
the,O,O
chieff,O,O
contentes,O,O
",",O,O
and,O,O
performed,O,O
the,O,O
commissions,O,O
of,O,O
ij,O,O
or,O,O
iij,O,O
your,O,O
late,O,O
lettres,O,O
sufficiently,O,O
to,O,O
your,O,O
contentacion,O,O
",",O,O
I,O,O
trust,O,O
",",O,O
and,O,O
ther,O,O
promised,O,O
to,O,O
send,O,O
you,O,O
30li,O,O
st,O,O
.,O,O
per,O,O
this,O,O
bringer,O,O
",",O,O
my,O,O
cosin,O,O
Lawrens,O,O
your,O,O
brother,O,O
",",O,O
in,O,O
grotes,O,O
(which,O,O
I,O,O
so,O,O
do,O,O
performe,O,O
in,O,O
a,O,O
canvas,O,O
bagge),O,O
",",O,O
besides,O,O
as,O,O
moche,O,O
more,O,O
that,O,O
I,O,O
delyvered,O,O
to,O,O
my,O,O
brother,O,O
Richard,O,O
to,O,O
bring,O,O
unto,O,O
you,O,O
in,O,O
lyke,O,O
monney,O,O
",",O,O
boeth,O,O
which,O,O
somes,O,O
my,O,O
last,O,O
lettre,O,O
did,O,O
specifye,O,O
howe,O,O
I,O,O
cam,O,O
by,O,O
them,O,O
.,O,O
To,O,O
Rychard,O,O
Nele,O,O
",",O,O
I,O,O
commend,O,O
me,O,O
unto,O,O
you,O,O
and,O,O
to,O,O
your,O,O
good,O,O
felow,O,O
",",O,O
being,O,O
glad,O,O
to,O,O
here,O,O
of,O,O
your,O,O
good,O,O
helthis,O,O
",",O,O
with,O,O
the,O,O
long,O,O
and,O,O
prosperus,O,O
contynewauns,O,O
of,O,O
the,O,O
same,O,O
to,O,O
Godde's,O,O
pleasur,O,O
and,O,O
your,O,O
hartte's,O,O
desyres,O,O
.,O,O
and,O,O
fyrther,O,O
to,O,O
advertise,O,O
you,O,O
",",O,O
wheras,O,O
John,O,O
Long,O,O
souldiar,O,O
of,O,O
Calais,O,O
of,B,O
late,I,O
had,O,O
commynycacion,O,O
with,O,O
you,O,O
for,O,O
his,O,O
sonne,O,O
to,O,O
be,O,O
your,O,O
apprenttes,O,O
",",O,O
the,O,O
said,O,O
Long,O,O
is,O,O
departid,O,O
this,O,O
worlde,O,O
the,O,O
xj,O,O
day,O,O
of,O,O
this,O,O
present,O,O
moneth,O,O
of,O,O
Marche,O,O
