free_annotations._id	free_annotations.annotations.NER	free_annotations.span	letters._id
f.SB_J_1.426_427	NAME	426/427	SB_J_1
f.SB_J_1.122_125	NAME	122/125	SB_J_1
f.SB_J_1.89_90	NAME	89/90	SB_J_1
f.SB_J_1.92_93	NAME	92/93	SB_J_1
f.SB_J_1.159_160	NAME	159/160	SB_J_1
f.SB_J_1.432_434	NAME	432/434	SB_J_1
f.SB_J_1.389_391	NAME	389/391	SB_J_1
f.SB_J_1.483_484	NAME	483/484	SB_J_1
f.SB_J_1.422_423	NAME	422/423	SB_J_1
f.SB_J_2.9_13		9/13	SB_J_2
f.SB_J_2.15_16	NAME	15/16	SB_J_2
f.SB_J_2.261_262	NAME	261/262	SB_J_2
f.SB_J_2.265_266	NAME	265/266	SB_J_2
f.SB_J_2.286_287	NAME	286/287	SB_J_2
f.SB_J_2.299_300	NAME	299/300	SB_J_2
f.SB_J_2.137_138	NAME	137/138	SB_J_2
f.SB_J_2.34_35	NAME	34/35	SB_J_2
f.SB_J_2.289_291	NAME	289/291	SB_J_2
f.SB_J_2.174_174	NAME	174/174	SB_J_2
f.SB_J_2.320_323	NAME	320/323	SB_J_2
f.SB_J_2.340_341	NAME	340/341	SB_J_2
f.SB_J_2.344_345	NAME	344/345	SB_J_2
f.SB_J_2.410_412	NAME	410/412	SB_J_2
f.SB_J_2.431_432	NAME	431/432	SB_J_2
f.SB_J_2.436_437		436/437	SB_J_2
f.SB_J_2.643_644	NAME	643/644	SB_J_2
f.SB_J_2.646_647	NAME	646/647	SB_J_2
f.SB_J_2.399_399	LOCATION	399/399	SB_J_2
f.SB_J_4.45_45	LOCATION	45/45	SB_J_4
f.SB_J_4.74_75	NAME	74/75	SB_J_4
f.SB_J_4.112_114	NAME	112/114	SB_J_4
f.SB_J_5.35_35	LOCATION	35/35	SB_J_5
f.SB_J_5.38_39	NAME	38/39	SB_J_5
f.SB_J_5.99_100	NAME	99/100	SB_J_5
f.SB_J_5.149_149	NAME	149/149	SB_J_5
f.SB_J_5.170_170	NAME	170/170	SB_J_5
f.SB_J_5.106_106	NAME	106/106	SB_J_5
f.SB_J_5.94_94	LOCATION	94/94	SB_J_5
f.SB_J_5.223_223	LOCATION	223/223	SB_J_5
f.SB_J_5.225_225	NAME	225/225	SB_J_5
f.SB_J_5.251_251	LOCATION	251/251	SB_J_5
f.SB_J_5.255_256	NAME	255/256	SB_J_5
f.SB_J_5.258_258	LOCATION	258/258	SB_J_5
f.SB_J_5.277_277	LOCATION	277/277	SB_J_5
f.SB_J_5.357_357	NAME	357/357	SB_J_5
f.SB_J_5.457_457	NAME	457/457	SB_J_5
f.SB_J_5.463_463	NAME	463/463	SB_J_5
f.SB_J_5.450_451	NAME	450/451	SB_J_5
f.SB_J_5.553_554	NAME	553/554	SB_J_5
f.SB_J_5.364_364	LOCATION	364/364	SB_J_5
f.SB_J_5.651_651	NAME	651/651	SB_J_5
f.SB_J_5.653_653	NAME	653/653	SB_J_5
f.SB_J_5.737_738	NAME	737/738	SB_J_5
f.SB_J_5.756_757	NAME	756/757	SB_J_5
f.SB_J_5.815_816	NAME	815/816	SB_J_5
f.SB_J_5.859_859	NAME	859/859	SB_J_5
f.SB_J_6.82_86		82/86	SB_J_6
f.SB_J_6.247_248	LOCATION	247/248	SB_J_6
f.SB_J_6.151_152	LOCATION	151/152	SB_J_6
f.SB_J_6.264_265	NAME	264/265	SB_J_6
f.SB_J_6.318_318	LOCATION	318/318	SB_J_6
f.SB_J_7.202_203	NAME	202/203	SB_J_7
f.SB_J_7.70_73	DATE	70/73	SB_J_7
f.SB_J_7.150_150	LOCATION	150/150	SB_J_7
f.SB_J_7.220_222	NAME	220/222	SB_J_7
f.SB_J_7.296_296	LOCATION	296/296	SB_J_7
f.SB_J_7.298_302		298/302	SB_J_7
f.SB_J_7.477_477	LOCATION	477/477	SB_J_7
f.SB_J_8.10_12	DATE	10/12	SB_J_8
f.SB_J_8.67_68	NAME	67/68	SB_J_8
f.SB_J_8.142_143	NAME	142/143	SB_J_8
f.SB_J_8.189_189	LOCATION	189/189	SB_J_8
f.SB_J_8.283_284	NAME	283/284	SB_J_8
f.SB_J_8.289_289	LOCATION	289/289	SB_J_8
f.SB_J_8.340_342	NAME	340/342	SB_J_8
